0, 2336, 1, 0, 2020-11-25 17:23:14 UTC
1, 2340, 2, 0, 2020-11-25 17:23:17 UTC
2, 2340, -1, 0, 2020-11-25 17:23:21 UTC
3, 2340, 0, 0, 2020-11-25 17:23:23 UTC
4, 2341, 3, 0, 2020-11-25 17:23:35 UTC
5, 2332, 2, 0, 2020-11-25 17:23:38 UTC
6, 2344, 0, 0, 2020-11-25 17:23:49 UTC
7, 2337, 3, 0, 2020-11-25 17:23:57 UTC
8, 2345, 1, 0, 2020-11-25 17:24:20 UTC
9, 2342, 2, 0, 2020-11-25 17:24:28 UTC
10, 2333, 0, 0, 2020-11-25 17:24:32 UTC
11, 2346, 2, 0, 2020-11-25 17:24:50 UTC
12, 2334, 3, 0, 2020-11-25 17:24:59 UTC
13, 2338, 2, 0, 2020-11-25 17:25:07 UTC
14, 2339, 0, 0, 2020-11-25 17:25:10 UTC
15, 2343, 1, 0, 2020-11-25 17:25:18 UTC
16, 2335, 1, 0, 2020-11-25 17:25:20 UTC
17, 2347, 3, 0, 2020-11-25 17:25:22 UTC
