Player Id,Tree with gini and max_depth 4,Tree with entropy and max_depth 4,Tree with gini and max_depth 3,Tree with entropy and max_depth 3,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (10 trees)
61,0.6903225806451613,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6516129032258065,0.6838709677419355,0.5870967741935483,0.6451612903225806,0.5806451612903226,0.6387096774193548
63,0.4719626168224299,0.49065420560747663,0.48598130841121495,0.49065420560747663,0.5,0.4766355140186916,0.43457943925233644,0.45794392523364486,0.4719626168224299,0.4532710280373832
3,0.49783549783549785,0.36796536796536794,0.48917748917748916,0.36796536796536794,0.5108225108225108,0.45021645021645024,0.4588744588744589,0.47619047619047616,0.47619047619047616,0.4588744588744589
2,0.5818713450292398,0.5701754385964912,0.5847953216374269,0.5701754385964912,0.5555555555555556,0.5789473684210527,0.52046783625731,0.5584795321637427,0.5321637426900585,0.5555555555555556
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.53125,0.40625,0.5625,0.40625,0.4375,0.4375,0.46875,0.46875,0.53125,0.53125
14,0.38372093023255816,0.32558139534883723,0.38372093023255816,0.32558139534883723,0.38372093023255816,0.38372093023255816,0.3372093023255814,0.36046511627906974,0.3372093023255814,0.38372093023255816
20,0.35584415584415585,0.2623376623376623,0.2753246753246753,0.2623376623376623,0.3142857142857143,0.3116883116883117,0.2753246753246753,0.2987012987012987,0.2857142857142857,0.2883116883116883
23,0.855,0.825,0.825,0.825,0.84,0.825,0.825,0.83,0.815,0.82
26,0.527027027027027,0.4391891891891892,0.4527027027027027,0.4391891891891892,0.5202702702702703,0.5540540540540541,0.4527027027027027,0.47297297297297297,0.46621621621621623,0.4527027027027027
34,0.5875,0.4625,0.55,0.4625,0.675,0.6625,0.525,0.5,0.4875,0.5
29,0.725,0.575,0.675,0.575,0.7,0.7,0.625,0.7,0.625,0.6
38,0.8611111111111112,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.8333333333333334,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556
32,0.5348837209302325,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.5813953488372093,0.5813953488372093,0.6046511627906976,0.5581395348837209,0.5813953488372093,0.5581395348837209
36,0.5483870967741935,0.4838709677419355,0.5483870967741935,0.4838709677419355,0.5161290322580645,0.5161290322580645,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5161290322580645
37,0.7105263157894737,0.5526315789473685,0.5,0.5526315789473685,0.631578947368421,0.631578947368421,0.5263157894736842,0.631578947368421,0.631578947368421,0.6578947368421053
52,0.42083333333333334,0.38333333333333336,0.4166666666666667,0.38333333333333336,0.4083333333333333,0.39166666666666666,0.44583333333333336,0.4083333333333333,0.42083333333333334,0.3958333333333333
47,0.48951048951048953,0.33916083916083917,0.33916083916083917,0.33916083916083917,0.44405594405594406,0.4125874125874126,0.36013986013986016,0.3531468531468531,0.33916083916083917,0.34265734265734266
44,0.574468085106383,0.4148936170212766,0.5851063829787234,0.4148936170212766,0.46808510638297873,0.5212765957446809,0.6063829787234043,0.574468085106383,0.6276595744680851,0.5851063829787234
50,0.6410256410256411,0.6410256410256411,0.5384615384615384,0.6410256410256411,0.6153846153846154,0.5897435897435898,0.5641025641025641,0.6153846153846154,0.6153846153846154,0.6666666666666666
51,0.49206349206349204,0.3492063492063492,0.38095238095238093,0.3492063492063492,0.42857142857142855,0.4126984126984127,0.38095238095238093,0.47619047619047616,0.3492063492063492,0.4603174603174603
