0, 1851, 3, 0, 2020-11-10 23:32:45 UTC
1, 1852, 1, 0, 2020-11-10 23:32:48 UTC
2, 1853, 0, 0, 2020-11-10 23:32:51 UTC
3, 1854, 2, 0, 2020-11-10 23:32:57 UTC
4, 1855, 2, 1, 2020-11-10 23:33:02 UTC
5, 1856, 0, 1, 2020-11-10 23:33:07 UTC
6, 1857, 1, 0, 2020-11-10 23:33:11 UTC
7, 1857, 3, 0, 2020-11-10 23:33:24 UTC
8, 1858, 1, 0, 2020-11-10 23:33:34 UTC
9, 1859, 2, 2, 2020-11-10 23:33:47 UTC
10, 1860, 3, 0, 2020-11-10 23:33:51 UTC
11, 1861, 1, 0, 2020-11-10 23:34:00 UTC
12, 1862, -1, 0, 2020-11-10 23:34:05 UTC
13, 1863, 0, 1, 2020-11-10 23:34:11 UTC
14, 1864, 1, 1, 2020-11-10 23:34:17 UTC
15, 1865, 3, 2, 2020-11-10 23:34:25 UTC
