player,Tree with gini,Tree with gini and impurity decrease,Tree with entropy,Tree with entropy and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Naive bayes assuming Gaussian,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees)
3,0.8861788617886179,0.8861788617886179,0.8861788617886179,0.8861788617886179,0.5853658536585366,0.5691056910569106,0.6747967479674797,0.8699186991869918,0.43089430894308944,0.7560975609756098,0.8861788617886179,0.8780487804878049,0.6991869918699187,0.7723577235772358,0.7723577235772358,0.8048780487804879,0.8861788617886179,0.7967479674796748,0.8780487804878049,0.7317073170731707,0.7398373983739838,0.8780487804878049,0.8211382113821138,0.8699186991869918,0.8861788617886179,0.8455284552845529
2,0.8689655172413793,0.8689655172413793,0.8689655172413793,0.8689655172413793,0.593103448275862,0.6827586206896552,0.593103448275862,0.8344827586206897,0.43448275862068964,0.8275862068965517,0.8482758620689655,0.7448275862068966,0.7655172413793103,0.7862068965517242,0.8275862068965517,0.7586206896551724,0.8689655172413793,0.7586206896551724,0.8689655172413793,0.7793103448275862,0.7931034482758621,0.8482758620689655,0.8413793103448276,0.8413793103448276,0.8482758620689655,0.8344827586206897
11,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.7619047619047619,0.7380952380952381,0.7619047619047619,0.42857142857142855,0.4523809523809524,0.6190476190476191,0.8333333333333334,0.6904761904761905,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.6904761904761905,0.8095238095238095,0.8095238095238095
9,0.6333333333333333,0.5666666666666667,0.6333333333333333,0.5666666666666667,0.5666666666666667,0.7,0.6333333333333333,0.7,0.43333333333333335,0.5,0.5666666666666667,0.7,0.5666666666666667,0.7,0.6333333333333333,0.5666666666666667,0.7,0.5,0.7666666666666667,0.5666666666666667,0.7,0.6333333333333333,0.6333333333333333,0.5,0.7,0.7
14,0.7272727272727273,0.5,0.7272727272727273,0.5,0.5,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.5,0.5454545454545454,0.5,0.7727272727272727,0.7272727272727273,0.7727272727272727,0.6363636363636364,0.6818181818181818,0.6363636363636364,0.7272727272727273,0.7727272727272727,0.6363636363636364,0.8636363636363636,0.9545454545454546,0.9090909090909091,0.8636363636363636,0.9545454545454546,0.7727272727272727
19,1.0,0.4,1.0,1.0,0.4,1.0,0.6,1.0,0.4,0.4,0.4,1.0,0.6,0.4,0.4,0.6,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.6,1.0,0.8
20,0.773308957952468,0.7093235831809872,0.773308957952468,0.773308957952468,0.7257769652650823,0.7623400365630713,0.7605118829981719,0.696526508226691,0.2906764168190128,0.773308957952468,0.7312614259597806,0.7276051188299817,0.7404021937842779,0.720292504570384,0.7349177330895795,0.7349177330895795,0.773308957952468,0.7605118829981719,0.7568555758683729,0.7787934186471663,0.7404021937842779,0.7897623400365631,0.7696526508226691,0.7879341864716636,0.7586837294332724,0.8043875685557587
15,0.625,0.625,0.625,0.625,0.25,0.625,0.625,0.75,0.25,0.25,0.375,0.75,1.0,0.625,0,0,1.0,0.375,0.5,0.75,0.625,0.5,0.625,0.375,0.75,0.625
21,0.5,0.25,0.5,0.25,0.25,1.0,0.75,0.5,0.75,0.25,0.75,0.5,0.25,0.75,0.75,0.25,1.0,0.75,0.5,0.25,0.75,0.75,1.0,0.5,1.0,1.0
1,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.36363636363636365,0.6363636363636364,0.45454545454545453,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.7272727272727273,0.8181818181818182,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.9090909090909091,0.8181818181818182,0.8181818181818182
