0, 1811, 0, 0, 2021-04-22 21:44:04 UTC
3, 1812, -1, 0, 2021-04-22 21:44:17 UTC
4, 1812, 2, 0, 2021-04-22 21:44:20 UTC
5, 1804, 2, 0, 2021-04-22 21:44:21 UTC
6, 1815, 3, 0, 2021-04-22 21:44:24 UTC
7, 1816, 1, 0, 2021-04-22 21:44:30 UTC
8, 1808, 1, 0, 2021-04-22 21:44:32 UTC
9, 1813, 1, 0, 2021-04-22 21:44:34 UTC
10, 1809, 3, 0, 2021-04-22 21:44:43 UTC
11, 1817, 0, 0, 2021-04-22 21:44:48 UTC
12, 1805, 0, 0, 2021-04-22 21:44:50 UTC
13, 1814, 3, 0, 2021-04-22 21:45:05 UTC
14, 1818, 2, 0, 2021-04-22 21:45:18 UTC
15, 1810, 2, 0, 2021-04-22 21:45:20 UTC
16, 1806, 3, 0, 2021-04-22 21:45:23 UTC
