0, 1643, 0, 0, 2020-11-21 01:46:54 UTC
1, 1651, 3, 0, 2020-11-21 01:46:56 UTC
2, 1652, 0, 1, 2020-11-21 01:46:59 UTC
3, 1653, 1, 0, 2020-11-21 01:47:01 UTC
4, 1654, 2, 0, 2020-11-21 01:47:03 UTC
5, 1647, 3, 0, 2020-11-21 01:47:05 UTC
6, 1655, 3, 0, 2020-11-21 01:47:07 UTC
7, 1656, 0, 1, 2020-11-21 01:47:10 UTC
8, 1647, 2, 1, 2020-11-21 01:47:13 UTC
9, 1648, 0, 1, 2020-11-21 01:47:15 UTC
10, 1649, 3, 0, 2020-11-21 01:47:18 UTC
11, 1650, 1, 1, 2020-11-21 01:47:20 UTC
12, 1657, 2, 2, 2020-11-21 01:47:25 UTC
13, 1658, 1, 1, 2020-11-21 01:47:28 UTC
